date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-08-01,29.2,25.6,36.1,0,,313,6.8,,1016.5,
2021-08-02,27.7,25.6,31.7,25.4,,288,4.3,,1015.6,
2021-08-03,27.2,24.4,31.7,21.1,,298,5.8,,1014.1,
2021-08-04,28.4,26.1,33.3,0.3,,17,11.2,,1014.7,
2021-08-05,29.1,22.8,32.8,0,,354,5.8,,1017.4,
2021-08-06,27.3,22.2,32.8,0,,357,3.6,,1018,
2021-08-07,29.3,24.4,35,0,,340,5.4,,1017.6,
2021-08-08,29.7,26.7,34.4,0.3,,214,6.1,,1017.8,
2021-08-09,29.8,26.1,34.4,0,,224,6.1,,1019.2,
2021-08-10,29.4,26.1,33.9,1,,13,4.7,,1020.7,
2021-08-11,28.7,25,33.9,0.3,,79,5.8,,1019.9,
2021-08-12,28.2,25,33.9,0,,20,6.5,,1019.8,
2021-08-13,27.2,24.4,32.2,38.6,,20,4.7,,1020.1,
2021-08-14,28.9,24.4,35.6,0,,10,5.4,,1019,
2021-08-15,29.3,25.6,33.3,5.3,,38,6.8,,1015.7,
2021-08-16,29.8,26.1,34.4,0,,39,9.4,,1012.8,
2021-08-17,29.8,25.6,35.6,0,,294,7.2,,1014,
2021-08-18,30.7,27.2,35,0,,153,10.1,,1017.4,
2021-08-19,30.4,27.2,35,15.2,,147,7.2,,1017.9,
2021-08-20,30.4,26.7,34.4,0,,192,7.9,,1015.2,
2021-08-21,30.2,26.1,35,0,,265,5.8,,1014.9,
2021-08-22,30.6,25.6,36.7,0,,287,6.8,,1016,
2021-08-23,30.8,26.1,36.1,0,,287,9.4,,1015.7,
2021-08-24,30.4,26.7,36.7,0,,308,9.7,,1015.2,
2021-08-25,29.6,26.7,35.6,,,324,6.1,,1015.8,
2021-08-26,27.8,25,33.3,11.4,,80,10.1,,1016.3,
2021-08-27,26.5,24.4,29.4,1.8,,68,14.4,,1014.9,
2021-08-28,27.9,24.4,31.7,0,,72,16.2,,1015.4,
2021-08-29,27.2,23.9,28.9,120.1,,67,51.1,,1000.6,
2021-08-30,27.1,26.1,31.1,0,,209,27,,1004.9,
2021-08-31,28.3,25,33.3,3.3,,230,11.5,,1008.6,
