date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-08-01,27.4,23.3,32.2,0.3,0,282,16.2,,1014.2,
2021-08-02,26.5,22.2,31.7,0.3,0,328,10.8,,1015.2,
2021-08-03,24.4,21.1,28.9,36.3,0,80,13.7,,1014.5,
2021-08-04,23.9,21.1,29.4,0,0,88,11.2,,1016,
2021-08-05,24.7,20.6,30,0,0,89,12.2,,1018.7,
2021-08-06,25.6,21.7,30,0,0,84,10.1,,1019.4,
2021-08-07,26,22.2,31.1,0,0,348,6.8,,1018.3,
2021-08-08,25.4,20.6,31.7,0,0,5,4.7,,1018.2,
2021-08-09,26.8,22.8,31.1,1.3,0,248,5.8,,1019.7,
2021-08-10,27.3,23.3,32.8,0,0,234,6.8,,1021.1,
2021-08-11,25.8,22.8,31.1,0,0,299,9.4,,1020.8,
2021-08-12,26.4,22.2,32.8,11.2,0,290,8.6,,1020.4,
2021-08-13,27.2,22.2,33.3,0,0,300,6.1,,1020.3,
2021-08-14,28.2,22.8,34.4,1,0,340,6.8,,1019.7,
2021-08-15,25.3,22.2,30.6,0,0,119,10.8,,1018.5,
2021-08-16,25.2,22.2,28.9,19,0,116,13.7,,1016.8,
2021-08-17,23.3,22.2,26.1,72.6,0,141,19.4,,1012.5,
2021-08-18,25.9,21.1,33.3,0,0,346,3.2,,1019.4,
2021-08-19,27.4,23.3,32.8,0,0,277,9.4,,1019,
2021-08-20,25.6,22.2,31.7,0,0,294,13,,1014.5,
2021-08-21,26.1,23.3,29.4,0,0,278,12.2,,1012.9,
2021-08-22,25.9,23.3,30.6,15.7,0,275,14.4,,1013.2,
2021-08-23,27.4,23.3,33.3,0,0,349,9.4,,1014.3,
2021-08-24,29.4,25,33.9,0,0,58,5,,1016.1,
2021-08-25,29.2,22.8,33.3,6.6,0,80,7.9,,1018.2,
2021-08-26,25.6,22.2,31.7,0,0,119,7.6,,1020.1,
2021-08-27,27.6,23.3,32.2,0,0,100,12.2,,1019.6,
2021-08-28,26.3,23.9,30.6,0,0,112,13,,1021,
2021-08-29,27.1,24.4,31.7,0,0,119,11.9,,1020.2,
2021-08-30,26.6,22.8,30,3.8,0,134,9.7,,1015.6,
2021-08-31,23.8,22.2,26.1,8.6,0,169,20.9,,1006.9,
