date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-01,23.2,17.8,25.6,65,0,46,20.5,,1006.9,
2021-09-02,20.9,16.1,25.6,5.3,0,345,27.7,,1008.5,
2021-09-03,19.6,14.4,25,0,0,345,13.7,,1016.6,
2021-09-04,20.8,16.1,25.6,0,0,277,15.5,,1016.2,
2021-09-05,21.1,18.3,23.3,0,0,205,19.1,,1011.5,
2021-09-06,23.9,20.6,28.9,0,0,267,17.6,,1009.5,
2021-09-07,22.8,17.2,26.7,0,0,248,14.8,,1014.2,
2021-09-08,23.2,20,26.7,0,0,191,27,,1011.6,
2021-09-09,22,20.6,23.3,9.4,0,226,8.6,,1008.3,
2021-09-10,21.2,17.2,24.4,0,0,318,24.5,,1011.9,
2021-09-11,20.4,14.4,24.4,0,0,236,14.4,,1021.1,
2021-09-12,22.7,19.4,27.8,0,0,230,23.4,,1018.9,
2021-09-13,25.4,20,30.6,4.6,0,270,16.9,,1016.3,
2021-09-14,22.7,19.4,25.6,0,0,107,11.2,,1017.9,
2021-09-15,23.7,21.7,27.2,0,0,190,19.4,,1015.2,
2021-09-16,23.4,21.1,26.7,0,0,54,16.2,,1021.4,
2021-09-17,22.9,21.1,25.6,0,0,45,15.5,,1022.9,
2021-09-18,24.2,20,30,0,0,359,12.6,,1017.4,
2021-09-19,22.7,17.8,26.1,0,0,9,16.6,,1020.6,
2021-09-20,20,15.6,24.4,0,0,103,11.5,,1026.9,
2021-09-21,19.9,14.4,25,0.8,0,91,14,,1027,
2021-09-22,23.2,21.7,26.7,0,0,142,20.5,,1019.5,
2021-09-23,24.3,17.8,27.2,16.8,0,139,27.7,,1014.3,
2021-09-24,19.4,14.4,23.3,11.4,0,289,14.8,,1017,
2021-09-25,19.3,13.9,24.4,0,0,356,7.9,,1016,
2021-09-26,19.8,16.7,23.3,0,0,287,22.7,,1012.4,
2021-09-27,20.7,16.1,26.7,0,0,232,22.7,,1014.2,
2021-09-28,20.6,16.7,24.4,2.3,0,251,17.6,,1010.8,
2021-09-29,17.6,12.2,22.2,0,0,351,16.9,,1014.9,
2021-09-30,16.8,12.2,19.4,0,0,348,14.8,,1019,
