date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-09-01,23.8,18.9,26.7,49,0,58,17.3,,1003.9,
2021-09-02,20.9,13.3,26.7,0,0,338,16.2,,1012.8,
2021-09-03,19,11.1,26.1,0,0,342,9,,1018.4,
2021-09-04,19.7,13.3,26.7,0,0,150,6.1,,1017.1,
2021-09-05,21.4,19.4,23.9,1.3,0,205,6.1,,1011.1,
2021-09-06,24.1,16.7,29.4,0.3,0,310,10.8,,1012,
2021-09-07,22.3,14.4,30,0,0,208,7.2,,1014.6,
2021-09-08,24,19.4,31.7,0.3,0,182,15.1,,1010.1,
2021-09-09,22.5,15.6,26.7,10.9,0,327,9.4,,1009.5,
2021-09-10,19.7,12.8,25,0,0,327,14,,1016.1,
2021-09-11,18.3,10.6,26.1,0,0,232,7.9,,1021.8,
2021-09-12,22.3,15.6,30,0,0,191,12.2,,1020.2,
2021-09-13,25.3,19.4,31.1,0,0,327,5.4,,1018.8,
2021-09-14,25,20,31.7,0,0,57,5.8,,1016.7,
2021-09-15,26,20,31.7,0,0,190,13.7,,1014.3,
2021-09-16,23.9,20.6,29.4,15.5,0,12,7.6,,1019.5,
2021-09-17,23.8,21.1,27.8,0,0,44,8.3,,1021.4,
2021-09-18,24.2,18.9,31.1,0,0,338,2.9,,1018.9,
2021-09-19,23.2,16.7,26.7,0,0,16,7.6,,1021,
2021-09-20,20.6,15,26.1,0,0,92,7.2,,1024.7,
2021-09-21,21,16.1,27.2,0,0,104,7.9,,1023.9,
2021-09-22,23.3,21.7,26.7,6.4,0,140,19.1,,1014.3,
2021-09-23,20.9,11.1,24.4,36.3,0,319,13,,1011,
2021-09-24,16.1,8.3,23.3,0,0,341,4,,1018.4,
2021-09-25,15.8,8.3,24.4,0,0,294,3.6,,1016.8,
2021-09-26,18.5,11.7,23.9,0,0,304,11.9,,1016.4,
2021-09-27,17.9,10,26.7,0,0,210,10.1,,1016.1,
2021-09-28,20.4,13.9,26.7,0,0,282,7.9,,1012.5,
2021-09-29,19,10,22.8,0,0,2,11.2,,1016.8,
2021-09-30,15.5,7.2,23.3,0,0,348,7.6,,1020.4,
