date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-08-01,29.2,25,35.6,0,0,271,7.2,,1015.2,
2021-08-02,25.9,22.8,28.3,21.6,0,36,7.2,,1015.3,
2021-08-03,25.7,22.8,30.6,0,0,34,7.9,,1014.4,
2021-08-04,25.4,20,31.1,0,0,17,9.7,,1015.9,
2021-08-05,24.9,17.8,31.7,0,0,359,6.1,,1017.4,
2021-08-06,25.9,21.7,31.1,0,0,359,3.2,,1017.3,
2021-08-07,25.8,19.4,32.8,0,0,1,2.2,,1017.2,
2021-08-08,26.7,20.6,33.3,0,0,266,6.1,,1016.7,
2021-08-09,28.5,23.9,33.9,0,0,197,7.6,,1018,
2021-08-10,28.5,23.3,34.4,0,0,174,7.6,,1019.7,
2021-08-11,28.4,22.8,34.4,0,0,189,7.9,,1019.3,
2021-08-12,26.9,22.2,33.9,0,0,151,8.3,,1019.2,
2021-08-13,27.2,22.2,33.9,0,0,16,4,,1019.6,
2021-08-14,28.2,23.9,34.4,0,0,346,8.3,,1019.1,
2021-08-15,26.1,22.8,33.3,0,0,44,6.8,,1016.1,
2021-08-16,25.4,22.2,32.8,7.9,0,41,5.8,,1013.6,
2021-08-17,27.2,22.2,33.9,0,0,75,4.7,,1013.7,
2021-08-18,28.7,23.9,35,0,0,171,8.6,,1017.1,
2021-08-19,27.4,22.8,33.9,46,0,223,9,,1017.7,
2021-08-20,26.1,23.3,31.7,10.7,0,170,6.1,,1014.8,
2021-08-21,27.6,23.3,33.9,0,0,234,7.9,,1013.8,
2021-08-22,28.7,23.9,35.6,0,0,289,6.5,,1014.8,
2021-08-23,29.3,23.9,35.6,0,0,355,4.7,,1015.1,
2021-08-24,29.6,24.4,35.6,0,0,7,3.6,,1015.1,
2021-08-25,29.1,23.3,35.6,0.8,0,28,6.5,,1016.4,
2021-08-26,27.1,23.3,33.9,1.5,0,98,7.9,,1017.2,
2021-08-27,26.4,22.8,32.8,0,0,87,10.1,,1016.5,
2021-08-28,26.4,22.2,33.9,1,0,70,8.3,,1016.9,
2021-08-29,26.4,23.9,31.7,9.4,0,79,16.2,,1014.2,
2021-08-30,24.2,22.8,25,65.5,0,130,25.6,,1001.9,
2021-08-31,25.4,21.7,31.7,0.3,0,278,11.5,,1006,
